48.8299902817, 2.37574814434;BIBLIOTHEQUE FRANCOIS MITTERRAND;RATP,SNCF;M14,RER C
48.8420053473, 2.23888732579;BOULOGNE-JEAN JAURES;RATP;M10
48.8561407093, 2.37020933841;BREGUET-SABIN;RATP;M5
48.884594208, 2.33794977706;ABBESSES;RATP;M12
48.8410940563, 2.2879457665;BOUCICAUT;RATP;M8
48.8983921248, 2.35837546934;PORTE DE LA CHAPELLE;RATP;T3B,M12
48.78728035, 2.36698844495;VILLEJUIF-LOUIS ARAGON;RATP;T7,M7
48.9389501578, 2.35632186742;MARCHE DE SAINT-DENIS;RATP;T5,T1
48.8974287356, 2.38658143311;PORTE DE LA VILLETTE;RATP;T3B,M7
48.9526378826, 2.35797833108;PETIT PIERREFITTE;RATP;T5
48.8974328495, 2.39504174968;ELLA FITZGERALD;RATP;T3B
48.973659013, 2.36605171568;BUTTE PINSON;RATP;T5
48.9448189327, 2.35700635511;ROGER SEMAT;RATP;T5
48.8975528099, 2.373383796;ROSA PARKS;RATP,SNCF;T3B,RER E
48.9032046155, 2.07297145657;SAINT-GERMAIN-GRANDE-CEINTURE;SNCF;LIGNE L
48.4309707241, 2.75317756884;VULAINES-SUR-SEINE-SAMOREAU;SNCF;LIGNE R
48.8007184639, 2.17138981276;VIROFLAY RIVE GAUCHE;SNCF,RATP;RER C,T6,LIGNE N
48.8183876387, 2.29206181457;VANVES-MALAKOFF;SNCF;LIGNE N
48.3823580058, 2.81595676708;SAINT-MAMMES;SNCF;LIGNE R
49.0910734513, 2.20182348425;VALMONDOIS;SNCF;LIGNE H
48.9635896849, 2.28593071821;SAINT-GRATIEN;SNCF;RER C
48.8473083595, 2.43329971764;VINCENNES;RATP;RER A
48.676092434, 2.38678379703;VIRY-CHATILLON;SNCF;RER D
48.7066109469, 2.48424514658;YERRES;SNCF;RER D
48.9937771469, 2.41618748893;VILLIERS-LE-BEL-GONESSE-ARNOUVILLE;SNCF;RER D
48.981071911, 2.00593089169;TRIEL-SUR-SEINE;SNCF;LIGNE J
49.0067002768, 1.91923711175;THUN-LE-PARADIS;SNCF;LIGNE J
48.7684217766, 1.51333305235;MARCHEZAIS BROUE;SNCF;LIGNE N
48.9056221191, 2.28351732969;ASNIERES;SNCF;LIGNE L,LIGNE J
49.0794702331, 2.35083083357;VILLAINES;SNCF;LIGNE H
48.7748028098, 2.00656686906;TRAPPES;SNCF;LIGNE U,LIGNE N
49.0996501217, 1.97053572369;US;SNCF;LIGNE J
48.1376108053, 3.28974196062;ETIGNY-VERON;SNCF;GL
47.9734303157, 3.39286472634;JOIGNY;SNCF;GL
49.1795049508, 3.12061291667;FERTE-MILON;SNCF;LIGNE P
49.1354741446, 3.07562656432;MAREUIL-SUR-OURCQ;SNCF;LIGNE P
